fy,date,previous_low,previous_high,new_low,new_high,midpoint,delta,change,reason,url
"2021","2021-04-28","21","23","19","21","20","-2","下调","原因未在新闻稿中明确","https://investor.atmeta.com/investor-news/press-release-details/2021/Facebook-Reports-First-Quarter-2021-Results/default.aspx"
"2021","2021-07-28","19","21","19","21","20","0","维持","维持","https://investor.atmeta.com/investor-news/press-release-details/2021/Facebook-Reports-Second-Quarter-2021-Results/default.aspx"
"2021","2021-10-25","19","21","19","19","19","-1","下调","原因未在新闻稿中明确","https://investor.atmeta.com/investor-news/press-release-details/2021/Facebook-Reports-Third-Quarter-2021-Results/default.aspx"
"2022","2021-10-25","","","29","34","31.5","","首次","推荐与广告机器学习投资","https://investor.atmeta.com/investor-news/press-release-details/2021/Facebook-Reports-Third-Quarter-2021-Results/default.aspx"
"2022","2022-02-02","29","34","29","34","31.5","0","维持","维持","https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-Reports-Fourth-Quarter-and-Full-Year-2021-Results/default.aspx"
"2022","2022-04-27","29","34","29","34","31.5","0","维持","维持","https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-Reports-First-Quarter-2022-Results/default.aspx"
"2022","2022-07-27","29","34","30","34","32","0.5","上调","下限上移；本次未拆具体原因","https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-Reports-Second-Quarter-2022-Results/default.aspx"
"2022","2022-10-26","30","34","32","33","32.5","0.5","上调","区间收窄但中点上升","https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-Reports-Third-Quarter-2022-Results/default.aspx"
"2023","2022-10-26","","","34","39","36.5","","首次","增量主要用于AI容量","https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-Reports-Third-Quarter-2022-Results/default.aspx"
"2023","2022-11-09","34","39","34","37","35.5","-1","下调","重整与裁员同期；具体资本开支原因未拆","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000116/meta-20221109.htm"
"2023","2023-02-01","34","37","30","33","31.5","-4","下调","成本更低的新数据中心架构，减少当年施工支出","https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx"
"2023","2023-04-26","30","33","30","33","31.5","0","维持","维持，仍投入广告、推荐和生成式AI","https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-First-Quarter-2023-Results/default.aspx"
"2023","2023-07-26","30","33","27","30","28.5","-3","下调","非AI服务器节约＋项目和设备交付后移2024","https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Second-Quarter-2023-Results/default.aspx"
"2023","2023-10-25","27","30","27","29","28","-0.5","下调","本次原因未单独明确","https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Third-Quarter-2023-Results/default.aspx"
"2024","2023-10-25","","","30","35","32.5","","首次","AI和非AI服务器、新架构数据中心","https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Third-Quarter-2023-Results/default.aspx"
"2024","2024-02-01","30","35","30","37","33.5","1","上调","扩充AI能力","https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx"
"2024","2024-04-24","30","37","35","40","37.5","4","上调","加速AI基础设施路线图","https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-First-Quarter-2024-Results/default.aspx"
"2024","2024-07-31","35","40","37","40","38.5","1","上调","下限上移；本次原因未单独明确","https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Second-Quarter-2024-Results/default.aspx"
"2024","2024-10-30","37","40","38","40","39","0.5","上调","下限上移","https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Third-Quarter-2024-Results/default.aspx"
"2025","2025-01-29","","","60","65","62.5","","首次","首次业绩指引；1/24社媒先公布同数值","https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx"
"2025","2025-04-30","60","65","64","72","68","5.5","上调","AI数据中心新增投入与硬件成本","https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-First-Quarter-2025-Results/default.aspx"
"2025","2025-07-30","64","72","66","72","69","1","上调","下限上移","https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Second-Quarter-2025-Results/default.aspx"
"2025","2025-10-29","66","72","70","72","71","2","上调","下限上移；预告2026更大增量","https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Third-Quarter-2025-Results/default.aspx"
"2026","2026-01-28","","","115","135","125","","首次","超级智能实验室与核心业务","https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx"
"2026","2026-04-29","115","135","125","145","135","10","上调","主要组件涨价，其次未来容量的数据中心成本","https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-First-Quarter-2026-Results/default.aspx"
"2026","2026-07-29","125","145","130","145","137.5","2.5","上调","可见度提高，区间下限上移","https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx"
"2026","2026-08-26","130","145","130","145","137.5","0","维持","新增和解费用，但其余7月指引区间维持","https://about.fb.com/news/2026/08/agreement-with-state-attorneys-general-supporting-teens/"
